120	0.12	서울에서 큰 공원이 전 한 세 개
2360	2.36	정도 있다 보는데 이제 상암의 월드컵
3919	3.92	공원 동쪽에는 올림픽 공원 그다음에
6160	6.16	그 사이에 서울숲 성동구에 그 중에
8320	8.32	크기로 봤을 때는 올림픽 공원이
9719	9.72	아직까지 제일 커요 현재 서울을
11200	11.20	대표하는 공원이 어디냐고 하면은
12759	12.76	올림픽 공원이라고 할 수 있을 것
14599	14.60	같습니다 현재 가장 큰 공원이고
16279	16.28	언제까지 용산 공원이 완성될 때까지는
18680	18.68	가장 큰 공원이에요 올림픽 공원을
20320	20.32	용상 공원에 넣어 보면은 한요
21840	21.84	만합니다 용산 공원이 무식하게 크긴
24400	24.40	하죠 뉴욕 에네트 센트럴 파크와 거의
26720	26.72	비슷한기로 조성이 되니까요 제가
28920	28.92	대한민국 최고 호재라 고 말씀드리는
30720	30.72	이유가 거기 있겠죠
