0	0.00	외조 도대체 왜 그럴까요 왜 집값이 계속 오르는 거지 코로나 로 전세계
5100	5.10	뒤 디피가 박살이 나고 실업률의 폭등의 폐업이 속출하는 데 부동산도
10139	10.14	주식도 나서 딱 또 해외 부동산도 심지어 비트코인 마저 폭등 중인 이
14880	14.88	상황 말이 되나
16289	16.29	이게 왜 그런지를 이해를 못 하시면 여러분은 그냥 계속 지금의 삶을 반도
21180	21.18	카 실 겁니다 오늘 잘 들으시기 바랍니다
24930	24.93	안녕하세요 모두의 부동산입니다 오늘은 갑자기 코로나바이러스 이야기를 좀
28680	28.68	해보려고 합니다 2020 년 12월 13일 부로 우리 대한민국도 크로나
33360	33.36	1구 확진 자가 하루 5천 명을 넘는 나라가 되었어요 이크로 나는
37710	37.71	우리에게 어떤 영향을 줬을 까요 여러분 우리의 건강에 많은 영향을 준다고
41969	41.97	생각하시나요
43050	43.05	국민 절반이 코로나 이후 실직 또는 임금 줄었다
47039	47.04	철 반이 절반 코로나 일구는 우리 건강만 위협하는 게 아닙니다
51180	51.18	경제적으로도 엄청난 타격을 주고 있어요 자영업자 분들께선 inf 와는
55770	55.77	비교도 안될 정도의 역대 최악의 시기를 보내고 계시죠
59280	59.28	아이템 신는 분들이 있죠 액체 세계 경제가 우리 뿐만 아니라 전 세계가
63300	63.30	다 폭망 인데 버치 값을 보라 많아 폼 낙하 겠네
67080	67.08	다른 생각은 자연스럽게 3월 4월 입대해 많이 하셨죠
71310	71.31	이 폭락 문제들은 어때요 아 때는 이때 구나 열심히 대폭 날 때 폼 나눠
75780	75.78	노래를 불러요
76799	76.80	조회수도 많이 뽑았어요 자유로부터 8개월 후인 지금 당연히 미 경제가
80939	80.94	이런데 집 꼈을 폭락해 겠죠 자 서울의 2020년 1월부터 현재까지 의
86490	86.49	집값이 변화 해요
87780	87.78	그러나 가 터졌을 때부터 지금까지 줘 자 폭락으로 보이시나요 뭐지 이거
91740	91.74	10% 씩 오른 데가 수두룩한데 서울말 일이겠지
95430	95.43	경기도 보겠습니다 경기도는 더 많이 올랐어요 15% 상승 2 흔합니다
100110	100.11	90 해요
101009	101.01	화장실은 20% 경기북부 볼까요 눈물과 설움에 경기북부 마저 15%
105479	105.48	내외로 상승한 지역들이 많이 보이죠
107790	107.79	아니 이게 어떻게 된 거야 이런 경제 대해 위기 상황에서 집값이 에게
111840	111.84	다투게 꾼 탓이지 뭐 그럼 이건 왜 이럴까요
114630	114.63	휴식은 또 이렇게 많이 올랐어요 2g 꾼들이 주식도 1 집값 보다 더
118020	118.02	많이 오른거 같은데 도대체 왜 g
119820	119.82	이렇게 어려운데 배 부동산 주식 심지어 10년 전에 완전히 망했다고
124530	124.53	결론이 나서 완전 뭐 그냥 끝났던 비트코인 마저 다시 폭등 에서
129390	129.39	2000만원을 넘겨버린 이 상황
131520	131.52	대체 이러는 이유가 볼까요 오늘 모두의 부동산과 함께 그 이유를 알아보고
135450	135.45	앞으로 여러분이 이런 어떤 특정 신념을 및 년이 될 부동산을 분석의 아닌
140550	140.55	신앙으로 생각하는 사람들에게 속지 않으려면 어떻게 해야 하는지 앞으로
144629	144.63	평생 후회하지 않기 위해 알아야 하는 현재 집값 폭등의 이유가 무엇인지
150300	150.30	오래 함께 알아보겠습니다 좋아요 한번 꾹 눌러주시구요 영상 끝까지 시청
154590	154.59	해 주세요
155370	155.37	존 을 누릴 수 있게 생겼다
164010	164.01	일단 코로나 로 경제 위기가 온 건 맞아요
166260	166.26	사실 실직 또 엄청 늘었고 태엽 또 많이 들었죠
169590	169.59	요즘 자영업자 분들 곡소리가 여기저기서 막 들립니다 심지어 imf
173879	173.88	외환위기 때보다 더 춥다 더 힘들다 이런 얘기가 나오는데 이건 그냥 우는
178079	178.08	소리 하는게 아니고 정말 경제가 어려운 건 맞아 왔는데 경쟁은 어려운데
182340	182.34	집값은 또 떨어져야 될 것 같은데
185310	185.31	속도 모르고 있단 말이죠 그것도 그 어느 때부터 많이 지금 보시면 서울
188969	188.97	매각 쪽을 중심으로 한 싶으신 때때로 올랐어요
191340	191.34	즉 없이 1년 또 서울 중심 거 보시면 은 3% 4% 1% 5% 이런
195870	195.87	식인데 계획 앞쪽은 지금 11% 11% 8% 9% 5%
200159	200.16	62% 이런 식이죠 전반적으로 서울 매각 쪽이 쪼 치고 올라오고 있다
204269	204.27	4월 중심은 좀 오를대로 올라서 그렇다고 떨어진 도 않았습니다 모르게
208650	208.65	올랐어요
209340	209.34	경기 남부를 보면은 여기는 15% 가 평균 이에요
212879	212.88	1년에 15% 즉각 모르는게 되게 많이 오는 거거든요 그게 평균 이에요
216750	216.75	용인 수원 만산 식음 광주 까지도 심지어
220439	220.44	수도권 이 점점 확장되고 있다는 게 느껴지죠 북부는 더 많이 올랐고 김포
224489	224.49	는 지금 25% 입니다
225900	225.90	요즘 왜 김포 김포 하는지 아시겠죠 1년에 즉 값이 25% 올랐어요
230549	230.55	음 정말 미친듯한 상승이 줘 그렇게 집 까만 이렇게 해서 오르면
234540	234.54	부동산 뭐 축이 꾼들이 들어와서 이렇게 직접 c 올린다 이거 다 가짜라고
238979	238.98	하겠는데 주식을 또 보시면은
241109	241.11	그러나 위기 라고 해서 한번 폭락을 써 하더니 그 때부터 회복하기
244829	244.83	시작해서 그 전보다 훨씬 없습니다 지금 크로나 위기 전보다 훨씬 높아요
249329	249.33	이거 2800 을 지금 가냐 많이 하는 단계인데 코로나 이전에 5
253169	253.17	2200 정도였어요
254639	254.64	5 6 - 또 띵 거예요 하니 처음 202 어떤게 2008 배까지
259229	259.23	뛰었으면 거의 27% 상승한 거죠
261870	261.87	굳이 때부터 안 제도 이때부터 제도 지금 거의 17% 가 항상 했어
266190	266.19	27% 집값은 사실 27% 상승한 것은 거의 없어요
270360	270.36	김포 가 그나마 제일 많이 상승했는데 25% 줘 근데 코스피는 27% 가
274710	274.71	상생을 했다
275520	275.52	많이 오른 특정 종목이 27% 가 아니고 보스 피가 코스피에 들어가 있는
279870	279.87	주식에 평균값이 이제 7% 가 올랐다는 거죠
283020	283.02	부동산 주식 에 비하면 은 오리들이 학생 거에요 아
286199	286.20	2d 꾼들의 또 주지 까지 들어왔구나 또 이건 뭐죠 우리 대한민국
289380	289.38	자랑스러운 취재 꾼들이 나서다 까지 정녕 했나 요 아 이미 2g 꾼들이
292919	292.92	나서다 까지 정령을 해가지고 내가 미국적 살라고 했는데 살 수가 없네
296550	296.55	얘네들이 꾼 들어 정말 대한민국 수지 꿈들 세계를 정복할 기세 입니다
300180	300.18	지금 그런 생각을 하고 있다면 본인의 무능을 본인의 무제 함을 팀 게
304830	304.83	3을 거리를 향해 사는 거야 축이 꿈도 때문이다 추지 꾼들 때문 이라면서
308430	308.43	분명히 나는 판단을 제대로 했어
310740	310.74	이때 이때 주식도 안사고 부동 상도 안 사게 잘했는데 값이 오른 건 다른
315419	315.42	판단을 잘했지만 알투비 꾼들이 우리나라 부동산 독 주식도 미국 주식도 다
320400	320.40	망쳐 놓은 거야 이거 정상이 아니야 이거 소주 한잔 먹고 만 잘못한거
324270	324.27	없어
324840	324.84	그리고
325169	325.17	앞으로 계속 똑같은 인생을 사는 거죠 한 번도 기회를 잡지 못하고 항상
328919	328.92	다 고른 다음에 투기꾼 때문이야
331830	331.83	그러겠죠 평생 우리 그런 분들이 되지 마시라고 영상을 찍습니다
336990	336.99	뉴욕증시 크로나 일부 에도 극 등 가계의 자산 역대 최고치 미국인
341159	341.16	순자산이 역대 최고로 불어난 것으로 나타났습니다
344370	344.37	미국 부동산 도 엄청 폭등 했어요 미국 집주인의 1000조 를 벌었다
348569	348.57	천조 여러분 처음으로 숫자 줘 그야말로 떡살 했습니다
351659	351.66	미국 부동산 가격은 지난 1년간 10.8% 가 득 등을 했다
355620	355.62	우리나라도 똑같아요 로머 미국은 경제가 좋았냐 하루에 10만 명씩 그러나
359580	359.58	환자가 나오는데 경제가 좋겠습니까
361589	361.59	2020 년 5월 기상대 이때 한 달간 2000만명 실적이 한 달
365789	365.79	지금 실이 어린데 변명에 실지 그랬을까요 어마어마 하겠죠
369120	369.12	이런데도 버티는 미국 직하 버티는 걸 넘어서 떠올라서 집주인들이 청조를
373979	373.98	벌었다
374580	374.58	즉 미국이든 우리나라 등 지금 주식도 부동산도 코로나 기간에 대폭
379800	379.80	상승했다는 얘기죠
380909	380.91	지금 모든 자산 곳 자산이라고 할 만한 모든 게 다 오르고 있다는 것을
384779	384.78	증명하는 얘는 비트코인 입니다
386879	386.88	비트코인이 한때 2400 2500 가지만 갔다가 1차 비트코인 열풍 일대
391800	391.80	막 기억 하시죠
392639	392.64	그리고 어느 순간 폭력을 했어요 폭로 해서 4배까지 그 400 2500
396360	396.36	하던게 4배까지 나요 사실 비트코인 낳아 끝났구나
399659	399.66	추억 속으로 4 반전이 뭐예요 이때 400만원 일대 비트코인을 사신
403289	403.29	분들은 2년 전쯤에 비트코인을 사신 분들은 지금 역대 올랐어요
407699	407.70	다섯 배로 올랐다 어제 비트코인 비트코인 망한거 아니었어 이거 되게
411360	411.36	애까지 이렇게 오를 수가 있지
413099	413.10	지금 무슨 하냐며 는 그냥 여러분은 게 뭐 부동산이 있죠
416580	416.58	주식이 더 금이 줘 비트코인이 까 광물이 4
419699	419.70	뭐 미술품이 줘 뭐든 안 하거나 산업 현금만 가지고 있지 않은 된다
423839	423.84	현금만 가지고 있지 않으면 타오른다 평점 가지고 있는 놈만 바보 되는
427830	427.83	그래서 하는 거예요
430230	430.23	왜그럴까요 그러면 왜 여러분이 쯤 말씀드려 쓰면 좀 눈치를 채셨겠지만
433790	433.79	오라고 했어요
435150	435.15	현금 가지고 있는 놈만 바보가 된다 라는 말씀을 방금 되었잖아요 기억 안
441090	441.09	나시면 30초 손으로 배 감 키 현금을 가지고 있으면 바보다
444690	444.69	2020년에 여러분 이 기사를 기억하시나요
447780	447.78	2 뉴스 미 연준은 뭐 연방준비은행 이에요
451320	451.32	우리나라의 한국은행 이라고 생각하시면 됩니다 달러를 만드는 것이죠
455220	455.22	통화량을 정하고 미 연준 무제한 달로 푼다
458430	458.43	무제 1달러 푼다 라는 기사가 3월 24일 났어요
462510	462.51	이때 이 기사가 엄청 많이 나왔죠 공중파는 물론이고 뭐 인터넷에 기사를
467340	467.34	올린 모든 언론사와 한번 유튜브 들도 뭐 그때 한 목소리로 이런 얘기를
471120	471.12	했었어요
471840	471.84	무제한 양적 1 무제 1달러 풀기 회사채 개인대출 정당 의 매입 양쪽
476130	476.13	않아 의 한도를 폐지했다
477720	477.72	달러를 찍어내는 그 한계를 없애버렸다 돌을 보안으로 찍는다는 것이
481950	481.95	부안으로 빛이 있으면 그냥 국가에서 빛의 4 벌여 비서 없애 주는 거죠
485760	485.76	완전히 뺀 강제로 그냥 경제를 막 끓어 올리는 거에요 돌을 펌 어서
489600	489.60	우리가 어렸을때 했던 그 상상
491490	491.49	한국은행이 돌을 만들 수 있으면 돈을 무한히 찍어내면 못하게 좋겠네
495030	495.03	어렸을 때 선생님께 이 질문을 드리면 선생님이 말씀해 주시죠
498240	498.24	그렇게 하면 연합회가 너만 하셔서 웬 플레이 션이 와서 예 클라 아
502229	502.23	쾌걸 한 거에요 지금 그 했어요 이게 달러가 기축 통화 라서 가능한 건데
505650	505.65	그래도 좀 험하게 합니다
507360	507.36	어쨌든 이걸 할 때 여러분이 부동산도 안사고 주식 동안 자고 글이 아니기
512280	512.28	때문에 해외부동산 이라도 잘 모르겠으면 금이라도 이런것도 안 사신 분들은
516659	516.66	아 정말 안타깝습니다
518430	518.43	4 무제한 달러를 푼다는 건 뭐예요 돈의 양이 많아진다는 거짓 온 의향이
522570	522.57	있다 마 예를 들어 써 전 세계에 있는 모든 빨러 가 뭐 1000만원
526770	526.77	이라고 합시다
527460	527.46	보시면 되지만 가정을 수천만 원 이라고 해요 극단적인 예를 들어서 왜
531570	531.57	내게 미쳐 가지고 아 그냥 10배로 찍지마
534270	534.27	그래서 붙여 만원도 찍어서 이렇게 만들어 버렸어요 돈을 막 뿌려 여기저기
538380	538.38	그런 원래 시장에는 선 말로 니랑 돈이 있었는데 총 이제 1억이라는 돈이
541950	541.95	있죠
542610	542.61	시장을 그래요 시장이 그대로 있다면 시장에 물건이 그대로 있다면 이
547320	547.32	물가가 어떻게 될까요
548490	548.49	전체 화폐의 양이 천만 하실 때와 이런 일 때 똑같은 물건이 있어요 이
552630	552.63	세계에는 참에 4개와 사과 3개 배
556110	556.11	다섯째 가정부 해요 이 3개 일 없어요 이제 작은 들으면서 전부
559860	559.86	1000만원 있을 땐 이 하나의 10,010원 연구 했어요 10원 2개
563100	563.10	사면 20원 그랬던게 전체 화폐의 향해 이렇게 됐을 때 똑같이 10원
566940	566.94	20원 할까요 절대 그렇지 않죠
568770	568.77	돈 인파들이 않단 말이죠 돈은 많은데 함에 개수는 그대로죠 참회가 10대
572760	572.76	같은 게 아니에요
573630	573.63	차별의 개수는 그대로 해요 참에 가격이 10배가 오르는 거죠
576930	576.93	당연히 너무 간단한 올립니다 이거 미 연준이 달러로 얼마나 크냐
581130	581.13	원래 달려 통한 야 이게 지금 달라 통화량을 나타내는 그래프는 대 계속
585150	585.15	돈 찍어내기 때문에 달러 얀은 계속 중요하긴 해요
588390	588.39	2009년 부터 쭉 증가를 계속 하죠 꾸준하게 못 증가를 상당히 합니다
592589	592.59	이때도 사실 너무 많이 찍는데 아니야 뭐 그런 얘기가 있었어요
595649	595.65	전까지는 이 그래프를 보시면 되지만 말하잖아요 이때까진 달러를 찍어내는
600180	600.18	곳에 대해서 조금 조심스러워 왔다면 2009년 이후로는 뭐 나라를 좀
604139	604.14	많이 찍어 씁니다
605069	605.07	이때도 사실 이렇게 오를 수밖에 없는 거예요 그러니까 즉각 떠오를 수밖에
608939	608.94	없고 돈이 많아 지는데
611160	611.16	이게 모든 사람한테 균등하게 분배 가 안될 뿐이지 돈이 많아 지는
614759	614.76	사람들은 한없이 많아 진다는 거죠
616649	616.65	2009년에는 1천 1400 정도였던 다니는 10억달러 고요
620970	620.97	1400 정도였던 통화량이 그로부터 10년 후인 2019년 에는 3800
626369	626.37	정도 10년만에 통화량이 3배정도 생각한것 3배 측면만 돌이 아니 3배가
631199	631.20	증가했다 되구요
632100	632.10	이때에 100만원은 이때에 100만원만 하는 달라요
635309	635.31	이때에 100만원은 이때 300만 원의 가치가 있는 거예요
638670	638.67	이때 100만원 하던 집은 이때 300만 하게 되는 거죠
642119	642.12	꼭 그렇게 비해서 증가하는 건 아니지만 다른 여러 가지 요소가 있기
645089	645.09	때문에 빼게 같이 기승냥이 아니에요 100만원에서 화면 마음에 된다고
649259	649.26	2gb 는 뭐 좋아져서 뭐 300만원 된게 아니야 이집은 똑같은 거예요
652769	652.77	이제 집값이 올랐다고 하지만 가격이 오른 거지 실제로 오른 게 아니에요
656879	656.88	예 그대로 있는겁니다 그대로 있는건데 뭐예요 달 만에 가치가 하락한
661110	661.11	거에요 달러의 가치가
662819	662.82	달러의 가치가 하락을 해버려서 이때의 300만원은 이 2009년에
667529	667.53	100만원의 가치 밖에 못가 져요 가치가 없어서 이 하회마을 1 이때
671519	671.52	100만원은 굉장히 뭐 큰 의미를 가졌지만 이때 랭 말로는 가치가 없어요
