0	0.00	제 2의 판교 를 꿈꾼다 판교를 꿈
3570	3.57	꾼다는 건 뭐예요 일자리가 알아 진다
6180	6.18	이 얘기입니다 판결은 지역은 일자리
9030	9.03	로 대변되는 지역 이잖아요 이 판교
11130	11.13	쪽 집값을 처음 보시는 분들은 다
13620	13.62	똑같이 하는 얘기가 내 생각보다 훨씬
15900	15.90	비싸다 라는 얘기를 많이 하세요 지금
18090	18.09	대부분 앞에 가 2조 이십 몇 아닌
20520	20.52	것들이 많아요 꽤 멀리 가 또 구축도
23250	23.25	20억이 넘는 것들에게 있죠 이게 다
25710	25.71	일자리 이미 거군요 사실 dj 의
28080	28.08	판결을 꿈꾸는 것들이 많이 있는데
30000	30.00	우리 회원님께서 오늘 그 중에 한
32460	32.46	것은 아주 잘 소개해 주신 분이
34469	34.47	있어서 그 분의 임 사이트를 조금
36510	36.51	빌리고 자 합니다
45000	45.00	네이버 카페에 오후에 풍산 을
46650	46.65	검색하시면 이런 카페가 있어요
48630	48.63	들어오시면 이런 카페가 있구요
50310	50.31	회원님들이 많은 정보를 올려주시는 데
52230	52.23	그 중에 정말 정리가 잘 되어 있는
54750	54.75	양질의 정보를 주신 분이 있어요 자
57239	57.24	봅시다 자 인천 해야되요 임천 아파트
60510	60.51	매매가격 변동률을 보여주는 그래프
63000	63.00	인데 딱 보니까 인천이 서울이나 다른
66060	66.06	수도권 보다 압도적으로 3 승률이
69030	69.03	높았다 오 이제 이 11년도 초반
71700	71.70	자룡 것 같아요 올해 임 천이 좀
73650	73.65	많이 올랐다는 건 여러분들 뭐 이런
75570	75.57	그래프 미안 봐도 아시잖아요
77310	77.31	인천이 다른 지역에 비해서 원래는 좀
79800	79.80	덜 어른은 편이었는데 오래지만
81660	81.66	왔거든요 근데 인천의 상승률을 잘
84690	84.69	뜯어보면 은 어떤 계주 먹느냐 인천
87360	87.36	평균으로 는 우정도 상승을 할 때
89700	89.70	어디가
90960	90.96	인천시 연수구가 와 상승률이 어마어마
94020	94.02	있다는 거에요 이건 뭐냐면은 런 수
95880	95.88	부가 하드 캐리 를 해서 인천시
98009	98.01	평균을 마 끌어올린 담이 있죠 전면
101340	101.34	말 대비 아파트값 상승률 무려 오이의
104789	104.79	오르기도 했어요 인천 연수구 김천에서
107460	107.46	는 유일 하죠 다 전기 논 데 이
109470	109.47	사이에 자랑스럽게 위치한 인천 연수구
112350	112.35	가 있어요 여러분들이 연수구 라고
114179	114.18	하면 조금 생소하지만 송 돌아가는
116819	116.82	쉽죠 성도가 여쭤봅니다 성도가 물론
119340	119.34	인천에 다른 지역도 많이 올랐죠 청라
121259	121.26	형 정도 검 당도 상승을 했지만 가장
124009	124.01	인천시에 상승을 주도한 것 성도 답을
127410	127.41	보여주는 자료에요 자 회원님이
129450	129.45	생각하기에 송도를 추자 처로
131850	131.85	말씀드리면 조금 부정적인 시선을 받는
134610	134.61	경우가 있다 라고 하셨어요 맞는
136530	136.53	말입니다 약간 부정적으로 생각하시는
138300	138.30	분들은 서울과의 접근성이 떨어진다
141840	141.84	라는 얘기 안했고 두번째는 야 검무
144900	144.90	많이 올랐어 이미 많이 올랐다
147660	147.66	이제 그저 써 라는 의견이 또 있어요
149580	149.58	하지만 그럼에도 불구하고 성도를
151520	151.52	추천을 하는 이유는 뭐냐 첫 번째
155060	155.06	부촌의 냄새 송도는 이미 누구나 살고
158280	158.28	싶어하는 그런 모습을 갖추고 있는
160650	160.65	것이다 이거 어딘지 아시는 분이 3
162959	162.96	저는 종종 방문하기 때문에 합니다 이
164670	164.67	더 이사장 처럼 생긴 건물 있거든요
166620	166.62	내가 아마 우리나라에서 두 번째나 세
168090	168.09	번째로 높은 건물이에요 지금은 좀
170069	170.07	떨어졌나 높은 건물인데 생겨 있습니다
172500	172.50	포스코 쪽 건물일 거에요 송도를 가
175590	175.59	보면 굉장히 미래도시 처럼 생각되는
177689	177.69	느낌을 많이 받거든요 옛날에는 그
179489	179.49	송일국씨 그 삼형제 대한민국 만세
182640	182.64	3중 이게 사는 곳으로 의미 했었는데
184590	184.59	지금은 다른 유명인들도 많이 거주
186959	186.96	아시죠 성도의 야경 화정 정말
189510	189.51	멋집니다 정도 자생력이 는 한강 당규
192239	192.24	성도가 나경은 제일 멋진 것 같아요
195090	195.09	행동은 반포 되겟죠 광경을 공아 송도
197579	197.58	센트럴 파크 어디가 제일 멋있는 것
199110	199.11	같습니다 대 개인적인 의견 이에요
201540	201.54	에이 뭐 비주얼이 이쁜 게 중요한 게
203250	203.25	아니라 뒤쪽이 잘 나온다는 것은
204959	204.96	기본적으로 살기좋은 형태를 띄고 있기
207780	207.78	때문에
208530	208.53	비쥬얼이 잘 나오는 거거든요 별리
210330	210.33	부촌의 냄새 라는게 좀 뭔지 알겠어요
213810	213.81	제가 예전에 찍었던 영상 중에 이런
215880	215.88	영상이 겠죠 미래의 박남희 어디냐 에
218580	218.58	대해서 말씀 드린 영상 있었는데
220080	220.08	거기서 이런 얘기를 해요 부자들에게
222239	222.24	는 1개 가는 게 없다 부자들은
224819	224.82	일반인들이 생각할 때 빨로 안되는
227400	227.40	금액을 죽어도 내집마련을 한다는
230190	230.19	거에요 부자들은 점점 더 끝없이 더
232980	232.98	비싼 점에서도 요 그래서 우리는
234569	234.57	미래의 강남 미래 2 층 부촌 이
237569	237.57	됐고 3 투자해야 한다 뭐 이런얘기
239850	239.85	했었어요 자 송도가 미래의 강남이
242130	242.13	되냐 아니오 그 당해 미래의 강남이
245100	245.10	되는 것도 제가 말씀드렸죠 용산의 한
247110	247.11	감동 동부이촌동 잠실 성수 이런
251250	251.25	것들이 미개 a 강남이 되는거고
253950	253.95	성도는 미래의 강남이 될 순 없어요
256799	256.80	하지만 확실한 건 뭐냐 300만
258630	258.63	임무가 사는 인천의 강남 은 확실하게
261810	261.81	성 도다 이건 압축합니다 인천의 강남
264450	264.45	인천의 9 추는 어디다 첨부 달아
267060	267.06	아마 바뀌지 않을 것이다 초 기계
268740	268.74	수도권 지역을 보면 동부에는 성남
272310	272.31	이나 갖춰 아니라 수원의 강요도 있고
274890	274.89	쉬는 부총리 개발한 버들잎 하는데
277620	277.62	서쪽 아기 별로 없어요 서쪽을 쭉
279660	279.66	보면은 후 추리 될만한 것들이 딱히
281760	281.76	안이 보이지 않음 인천시 를 넘어서
284460	284.46	수도권 서부 의 대표적인 부촌 이 될
287610	287.61	수 있는 곳이 자는 송도 라고 봅니다
289380	289.38	우리 회원님도 그 점을 명확하게
290910	290.91	캐치를 하신 것 같아요 져있는 누구나
293729	293.73	코가 있다면 맡을 수 있을 겁니다
295800	295.80	냄새가 납니다 바로 부총리 냄새입니다
297570	297.57	이제 좀 뭐 성도를 사랑하시는 분
299729	299.73	이어서 아주머 계획된 저 지났는데 뭐
302100	302.10	나름 동의합니다 5초의 냄새가 나요
304830	304.83	성도에서 이른바 부자 라 불리는
306690	306.69	자산가들은 나의 조망권 내가 누릴 수
309090	309.09	있는 주변 환경 들의 돈을 지불하는
311640	311.64	것을 아까워하지 않는다 3 호수 바다
314640	314.64	뷰가 나오는 것들의 매물들이
316410	316.41	프리미엄의 붙는 것을 봐도 다양한
319020	319.02	치달았다 성도를 너무나 사랑하는
321030	321.03	마음이 있는 것 같긴 하지만 더 맞는
322889	322.89	얘기입니다 가세요 누가 이런 뷰를
324389	324.39	싫어 하겠어요 이런 뷰가 나오고 이런
326639	326.64	산책로가 나오는 것들이 부 총이
328500	328.50	되는게 맞습니다
329640	329.64	그리고 크크 쵸니 되는 데에 크게
331919	331.92	일조하는 것이 이 경제자유구역 이에요
334620	334.62	송도는 경제자유구역 이라 경제적으로
338099	338.10	받는 혜택들이 말씀이다 욕이라서 누각
340680	340.68	그대가 파트 3은 혜택을 주는게
342539	342.54	않으면 기억들이 여기서 사업을 하면
345300	345.30	혜택이 많아요 그래서 이왕이면 비슷한
348570	348.57	조건이라면 성도 같은 것들은 일자리를
351120	351.12	유치 아기가 굉장히 쉽겠죠 발행 부터
353550	353.55	에 비해서 그래서 쭉 내려보면 은
355140	355.14	이제 일자리 약이 돼 있어요 여러분
357180	357.18	현재 대한민국의 가장 주요 산업은 뭐
360450	360.45	누가 뭐래도 반도체 줘 삼성이
362310	362.31	주도하는 반도체 인데 우리가 이제 뭐
363930	363.93	jean 꽃의 니까 앞으로 대한민국을
366479	366.48	먹여 설립 산업으로 뽑는게 반도체 이
369090	369.09	회복 아니냐 라고 했을 때
370770	370.77	그러면 배터리나 2차전지 아니면 이다
373229	373.23	이었죠 생명공학 쪽을 많이 거
375090	375.09	없잖아요 그만큼 이 바이오 가 아주
377159	377.16	중요한 이제 산업 중 하나가 되는
378629	378.63	거에요 점점 실제로 잘 해 보면 피면
381539	381.54	10 가 총의 오이 12 22 업체가
385289	385.29	바이오 회사에요 바이오 산업이 굉장히
388020	388.02	커질 거죠 지금 사람들이 많이
389400	389.40	기대하고 있고 삼성바이오로직스
391430	391.43	셀트리온 sk 바이오 사이언스 요새
394800	394.80	친구가 대한민국 바이오산업의 어머
397469	397.47	선두주자인 된 해 쉽게 총액이 상당히
399870	399.87	올라왔어요 삼성바이오로직스 는 12
401729	401.73	아네트 go 2조 위 해당합니다
403770	403.77	저한테 이 세 친구가 모두 어디 a7
406110	406.11	하느냐 성도의 자리를 잡는다 송도는
409349	409.35	앞으로 명실상부 대한민국 의 바이오
411870	411.87	클러스터 입니다 그건 맞아요 솔직히
413849	413.85	턱에 전에 한번 일자리 와 부동산에
416610	416.61	대한 얘기를 했을 때 반도체는 화성
419219	419.22	평택 it 는 판교 바이오는 성도
421710	421.71	이런 얘길 했었어요 일단 이런 굴지
423419	423.42	끔찍한 기업들이 송도에 자리를
425250	425.25	잡았으며 다른 기업들 또 성도의
427650	427.65	들어오게 될 가능성이 크지 국제적인
429659	429.66	바이오 의사들이 또 송도에 들어갈
431610	431.61	예정이구요 국내 각 기업들 뿐만
432960	432.96	아니라 외국계 기업들도 굳이 바위
435300	435.30	뿐만이 아니더라도 이 사람 뭔가
437159	437.16	굉장히 많습니다 범 기계 이제 바이오
438839	438.84	클러스터 조성 예상 구역 인데 이
441300	441.30	아래 적으로도 이 사람은 문제가
442919	442.92	굉장히 많습니다
443909	443.91	일자리가 들어올 자리가 많죠 그리고
446729	446.73	일자리가 해서 속속들이 들어오고 있는
448800	448.80	이유 중 하나가 보면 왜 이 얘기를
450659	450.66	인지한 하실텐데 쥐치 읽습니다 인천대
453509	453.51	입구역 에 ttx 손 교역이 들어오죠
456270	456.27	2 gtx 의 말로 흐름 점점 이다
459150	459.15	여기저기 일자리 는 다 이렇게
461099	461.10	아래쪽으로 들어있는 담으면 되요
463289	463.29	그러는 종합적으로 봤을때 송도에서
465360	465.36	가장 유망한 지역은 어디 겠어요
468180	468.18	인천대 입구역 아래쪽 킥의 일자리 에
471210	471.21	접근하기 좋은 지오 론 지역 2f
473819	473.82	가장 땅값이 많이 올해 말 것이죠
476009	476.01	교통과 일자리를 겸 비하면 필수입니다
479430	479.43	대현이 좀 비싸게 합니다 각자 형편에
481710	481.71	맞게 하는거죠 주장은 이 듀티 x 가
484469	484.47	들어와 주기 때문에 또 일자리 들이
486270	486.27	순조롭게 쭉 입주할 수 있는 거에요
488520	488.52	일자리 는 들어왔는데 듀티 x 같은게
490740	490.74	없어서 송도로 솔직히 서울에서 멀리
492449	492.45	되거든요 그 송도를 좀 안좋게 보시는
494459	494.46	분들이 가장 말이 이야기를 하신 함께
497039	497.04	서울에서 멀다는 건데 그 멀다는 점을
500250	500.25	한 벌의 상소에 둘리 뭐예요 주책
502469	502.47	쓰죠 주 택시타면 여의도 영성 깨져
504449	504.45	20분 일탈이 듀티 x 가 있으며
506490	506.49	내가 어디 살든 이 듀티 x 전고
509039	509.04	장의 봇 알았는데 그렇게 오래 걸리지
510599	510.60	않을 겁니다 제가 긴 일자리 얘기를
512819	512.82	먼저 하고나서 주치 x 얘기를 했는데
514919	514.92	보통 헤어 뷰티 xml 오디션 분위기
517770	517.77	많아요
518710	518.71	녹음은 뭐지 책 쓰도록 오바다 있는데
520660	520.66	아니야 실은 그럼 제 중요한 게
522730	522.73	아니에요 사실 일자리가 훨씬
525610	525.61	중요하구요 어떻게 보면 그렇게 때문에
527470	527.47	gtx 도 들어오는 거예요 주 tx
529660	529.66	괜히 속에 들어온 게 아닙니다 일자리
531460	531.46	이렇게 많이 들어오기 때문에 듀티 x
533650	533.65	로또 떨어질 수밖에 없는 거거든요
535690	535.69	항상 교통은 일자리를 따라 가능
538630	538.63	거에요 경남이 개통이 제일 좋은 이후
540610	540.61	한 남의 언제 되게 잘 많으니까
542380	542.38	당연하죠 거기에 가야 되니까
544360	544.36	앞으로는 이 바이어 조금 아시는
546220	546.22	분들은 바 송도를 가야 된다는 거에요
548920	548.92	당연히 송도에 규칙 쓸 깔아줘야 전부
550750	550.75	조건이 이거 없음 어떻게 소개 합니까
552790	552.79	주 tx 뿐만 아니라 다른 교통수단과
555310	555.31	아픔 알이 들어 올 수 있다 왜
556750	556.75	일자리가 넘쳐 흐르기 때문에 그것도
559150	559.15	양질의 일자리 대한민국 정부도 먹여
561670	561.67	살려주는 그런 일자리 들이 앞으로
563350	563.35	넘칠 거니까 그래서 제가 항상 하는
565180	565.18	말이 있죠 일자리 는 부동산 의 빛이
568450	568.45	혁명이다 리언 님도 제가 항상 하는
570520	570.52	얘기를 인용해 주셨구요 이제 영상을
573010	573.01	많이 보신 분 있네요 밤 반쪽으로
574510	574.51	제가 여러분께 말씀 드리는 멘트들이
576880	576.88	라이 등장하죠
580860	580.86	내 무슨 송도가 바이오 클러스터 내
582540	582.54	말만 그런거 아니야 라고 무 계시는
584550	584.55	분들이 도 있어서 좋은 다리를 더
586290	586.29	넣어 주셨네요 주요 도시의
588110	588.11	바이오의약품 생산 역량이 2020년
591269	591.27	마이드림 아직도 한참 들어 있는데
593370	593.37	벌써 88만 l 로 미국 샌프란시스코
597329	597.33	나 싱가포르 같은 주요 관료 생산
600899	600.90	2시에 배수도 훨씬 높다 이건 미래
603839	603.84	이기도 하지만 현재의 기도한 거에요
605850	605.85	이미 60여개의 기업인 주로 했고
607860	607.86	구성 면적만 92만 제품부터 답다
610620	610.62	생각보다 굉장히 강력합니다 여러분
612480	612.48	바이오 산업을 r 잘 모르셔서 주식
614910	614.91	하시는 분들은 오히려 바이버 사람을
616800	616.80	잘 아시는데 부동산만 하시는 분들은
618959	618.96	잘 모를 수가 있어요 이 사실은
620459	620.46	주식과 부동산 이라는 것은 정직히 한
623129	623.13	번만 하면 안된다고 생각해요 부동산을
625199	625.20	하시는 분들도 주식 공부를 하실
627149	627.15	필요가 있어요 딱 주실 피부 라는게
628920	628.92	좀 차트 보고 뭐 자체가 어떻게
630749	630.75	됩니다 이런게 아니고 어떤 산업이
632819	632.82	있고 어떤 사람이 u 망하고
634949	634.95	산업 구조가 어떻게 변하고 있고 이런
637139	637.14	것들은 당연히 공부를 해야 되는
638999	639.00	거에요
639779	639.78	삼성이 지금 뭘 하고 있는지를 알아야
642449	642.45	평 팩이나 동탄 같은 것들을 미리
644790	644.79	매수를 해서 돈을 벌어 겠죠 삼성이
646920	646.92	잘 나가면 삼성전자 주식 산 사람들만
650220	650.22	올해 보는게 아니고 평 책이나 동탄에
652829	652.83	집사 사람들 톡 집값이 오른다는 것을
655800	655.80	여러분들이 아셔야 됩니까 이렇게
657809	657.81	일자리가 많은 분들은 그 기업의
660360	660.36	흥망성쇠 에 따라서 부동산도 같이
663240	663.24	간다 즉 뭐에 앞으로 송도 의부
665339	665.34	동선은 대한민국 바이오산업
667259	667.26	삼성바이오로직스
668629	668.63	셀트리온 sk 봐요 이런 것들은 에
671509	671.51	실적과 또 어떻게 보면 연관이 있다
675000	675.00	우리가 당연히 대한민국의 사업이 뭐가
677309	677.31	있고 to 어떤 산업이 유망한 제는
680040	680.04	필수적으로 알아야 됩니다 2 모르면
682259	682.26	부동산 체제로 제대로 할 수가 없어요
684059	684.06	산업의 발달에 꽃 일자리 에 증가하고
686790	686.79	일자리 에 증가와 코 부동산의 상승
689129	689.13	입니다 일자리 증가가 곳 도 통해 발
691679	691.68	다리 고 1짜리 에 증가할 것 상권의
693839	693.84	발 다니고 일자리에 증가가 곳 탁구
696689	696.69	네 발 다리 그리고 이 모든 것들은
698579	698.58	결국 즉 탑스 올리는 방향으로 작용을
701129	701.13	하죠 사람을 알아야 일자리를 이해하는
703829	703.83	거구 그래야 부동산 투자를 잘할 수
706499	706.50	있는 거에요 일자리 게 많아지니
708209	708.21	학군도 당연히 좋아져요 하공 봐도
710100	710.10	많아지게 되고 양질의 일자리가 많다는
712410	712.41	것은 풍족하게 수입을 올리는
714929	714.93	부모님들이 계시다는 거 아니에요 그런
717089	717.09	분들이 많아지면 당연히 보다 들어와요
719579	719.58	8번과 가봐라 지고 이미 중계되고
721500	721.50	넣었다
722429	722.43	수원의 영통 같은 것들이 삼성이
724679	724.68	들어오면서 그냥 학군이 좋아 줬거든요
726240	726.24	근데 일자리를 위한 학군에 발달
729059	729.06	속도에서도 일어나고 있는 거죠 그
731009	731.01	마무리는 부 양극화 상단을 선점하기
733410	733.41	위해 평도 에 투자하자 더 마무리를
735480	735.48	했네요
739049	739.05	오늘은 제가 이성도 쪽을 이제
741299	741.30	추천하신 송로 쪽에 관심이 많고 성도
743759	743.76	쪽을 투자처로 적극 추천 하시면 우리
746429	746.43	제라 회원님은 이 게시물을 참고해서
749189	749.19	여러분께 인천 연수구 송도 라는
751709	751.71	지역을 추게 해 드렸고 이건 제가
753419	753.42	어디서 하냐 며 는 우리 모두의
755429	755.43	부동산 카페에 들어오시면 투자인 약의
758339	758.34	초짜 초추천 이라는 게시판이 있어요
761099	761.10	요 게시판에 보시면 시작한지 얼마 안
763379	763.38	됐기 때문에 그럼 여기 없습니다만
764819	764.82	차매 적부터 글이 올라오고 있죠
767159	767.16	여러분께서 글을 올려 주셨고 이중에
769889	769.89	추천수가 죄많은 도야 과제 많은 글이
772739	772.74	서해선 관련 게시물 과 송도에 대한
775799	775.80	게시물이 어서 둘다 좀 읽어보고
777569	777.57	성도를 추천해주신 게시글이 정말
779999	780.00	장래가 좀 잘되어있다 전업으로
781979	781.98	블로그를 하셔도 괜찮겠다 싶을 정도로
784409	784.41	정리를 잘 하셨고 약간 주관적인
787259	787.26	부분도 있지만 정리를 잘해주셔서 우리
789299	789.30	모두의 부동산 구독자 님들께 또
790919	790.92	소개를 좀 해 드리기로 했어요
792389	792.39	올려주신 글은 제 영상보다 더
794279	794.28	자세하게 나와있어요 훨씬 길고 자세
796319	796.32	하니까 정도의 관심 있는 분들 한번
798269	798.27	읽어 보시구요 정말 근처 아마도 이
800189	800.19	피할 수 없는 의 시를 양극화 영상
802919	802.92	보시고 영감 받으셔서 송도 쪽을 보신
805349	805.35	것 같은데 판단합니다 제가 봤을 때
807659	807.66	여러분도 앞으로 우리 모두의
809159	809.16	부동산카페 투자처 추천 게시판에
811649	811.65	여러분이 생각하시는 좋은 투자처를
814199	814.20	다른 회원님들을 위해서 항상 저만
816479	816.48	이렇게 소개를 해드리면 다양성이
818220	818.22	없잖아요 저는 우리 회원님들은 어떤
820799	820.80	곧 저를 추천 하시는지 궁금해요
822599	822.60	여기에 뭐 내가 살께 지금 저평가되어
825089	825.09	있는 지역 아니면 특정 단지 아님
