1309	1.31	[음악]
6720	6.72	야, 너 거기서 뭐 해? 세상 끝까지
9679	9.68	가보는 중이야.
12080	12.08	>> 그 기타로
13599	13.60	>> 응노래하면서 가면 덜 무섭거든.
17080	17.08	>> 같이 가도 돼?
18279	18.28	>> 그날 이후로 우리는 [음악] 같은
20519	20.52	방향을 보게 됐고지도 없이 걸었지만
25760	25.76	이상하게 길을 알았지.
28960	28.96	넘어져도 웃었고 오늘도 [음악]
31480	31.48	성공이
33399	33.40	기억해이 노래 우리가 만든 멜로디
37680	37.68	>> 우리 같이 갈래
39200	39.20	>> 이번엔 [음악]
39879	39.88	놓지 않을게 서은 반지 하나로
43885	43.88	[음악] 우린 서로의 집이 됐고
48470	48.47	[음악] 작은 손이 우리를 잡아
54000	54.00	우리가 다시 시작됐어
59079	59.08	기억해이 노래
62079	62.08	우리의 멜로디
64559	64.56	근데
66600	66.60	이상하지
70000	70.00	>> 오늘은 왜 [음악] 이렇게 조용하지
72600	72.60	의자 하나 사진 속 웃고 있는 너
80240	80.24	기타를 들면 [음악] 아직도 네가
82840	82.84	듣고 있는 것 같아 기억해
89159	89.16	이 노래 나는 남아 있을게.
93720	93.72	잘 지내. 오늘도.
108076	108.08	>> [웃음]
113971	113.97	[웃음]
