0	0.00	경기도에서 대지 지분 10평 정도 네
2280	2.28	제발 줄 한다 있을 수 없는 일이
3870	3.87	있죠 그래서 제가 기사로서 없다는
5430	5.43	것이 숫자가 이 아파트 단지 주민들이
7620	7.62	실외에서 그런 게 아니에요 여러분이
8849	8.85	이런 단지들의 재건축이 되는 줄 알고
12030	12.03	저희 유튜브 채널이 나면 카페 같은데
13559	13.56	올라오는 홍보글을 보고 대 건축
15839	15.84	사업성에 전혀 없는 것을 홍보를 하는
17880	17.88	것 여러분이 그걸 믿고 여기에 투자
20100	20.10	하실분들은 잭은 중에 안되니까 최근
22619	22.62	축을 기괴하고 상권 한번 빠져
23880	23.88	나오세요 내가 그냥 여기에 거주
25439	25.44	하려고 사신 분들도 상관없어요
27000	27.00	저희집이 뭐 안 좋다는 게 아니라 잘
28619	28.62	맞추고 안된다는 거예요
33100	33.10	woo
34910	34.91	얼마전에 제가 요 썸네일로 영상 올린
37550	37.55	좋겠죠 세상에서 가장 빠르게 재건축
39800	39.80	될 단지 야구에서 제가 두 개의 제거
42350	42.35	쭉 후보지를 여러분께 소개해
43850	43.85	드렸었는데 그게 어디 있냐며 는 여기
46280	46.28	어쩌네 1가 주공 4단지 1 자
47840	47.84	이렇게 옆에 있는 가야 주공 5단지
50269	50.27	1차 근데 제가 영상을 찍으면서
52629	52.63	주의사항으로 얄라 지금 4단지 1차는
55790	55.79	재건축 사업성이 있지만 이 아래 한라
58610	58.61	주공 4단지 2차 3 경우에는 마치
60470	60.47	항 단지 처럼 보이지만 다른 단지 고
62600	62.60	2 2차는 사업성이 없다
65420	65.42	재건 쪽으로 투자를 하시는 분들은
67070	67.07	헷갈리지 않게 주의해 줘 나 라는
68930	68.93	말씀을 드렸더니 이 많은 분들이 1
72229	72.23	사람들이 차도 가능하다 안전진단 통과
74780	74.78	의미하기 때문에 재건축을 할 수 있다
76880	76.88	그리고 이 가야 죽음 5단지 1차
78740	78.74	뿐만 아니라 가지고 바지 상차도
80810	80.81	3차는 어딘가에는 밑에 여기는 거에요
83179	83.18	또 3 차도 응용 일이 괜찮아서 최근
85640	85.64	쭈리 가능하지 않을까요 그때 무너진
87200	87.20	분들도 있고 이외에도 사실 내가 지금
89660	89.66	보여드릴 순 없지만 역설과 함께 향해
91850	91.85	하시는 분들도 많았어요 왜
93440	93.44	불가능하다고 하느냐 발라주고 단지
95600	95.60	2차도 가지고 모든 상처도 가능한데
98060	98.06	왜 불가능하다고 너가 단정한 야
99979	99.98	독설과 함께 많이 물어 보시기 전에
101780	101.78	제가 올 알려드리려고 해요 요런걸
103759	103.76	알려드리는 이유는 이런 댓글도 뭐
106340	106.34	특정한 주장을 하시잖아요 어디가 좋다
108739	108.74	어디가 좋다 이런걸 믿고 뭔가 투자를
111349	111.35	하지 말라는 거에요 여러분이 따질 줄
113330	113.33	알아야 되요 진짜 재건축이 될 수
115550	115.55	있는 곳이 어딘지를 따질 줄 아셔야
117289	117.29	되는데 그걸 오르시면 싸다고 아무데나
119300	119.30	들어 가게 되거든요 물론 내가 살고
121940	121.94	싶은 집을 사는건 아무 상관없이
123860	123.86	오는데 재건축에 될 수 없는 곳을
126020	126.02	재건축이 될 수 있다고 착각해서
128390	128.39	투쟁하게 되는 그런 불행한 일을 막기
130789	130.79	위해서 오늘 내가 이 품고 삼보를
132650	132.65	해줘서 되면 금 정력적인 매가 주공
135050	135.05	14단지 나 그리고 3번 옆쪽에 3번
138410	138.41	주공 11단지 이런것들도 재건축 가능
140569	140.57	하지 않냐 우리 추진 중인데 라고
143000	143.00	이렇게 질문하거나 이렇게 주장을
144709	144.71	하시는 분들이 있어서 이제 재건축
147410	147.41	사업성과 재건축 투자 가치를 따지는
149780	149.78	방법은 종합적으로 2 3번 신도시를
152090	152.09	예로 들어서 설명을 드리려고 하니까
154099	154.10	다른 도시로 여러분의 보실 때도 오늘
156410	156.41	제가 하는 이 방식대로 보시면
158110	158.11	정확하게 재건축이 가능한 곳 가능하지
161239	161.24	않은 것을 좀 9분할 수 있다 서로
163220	163.22	조금씩 투자 가치를 어떻게 따지는
165950	165.95	지를 그래서 간단하게 보여드릴께요
167330	167.33	3골을 이루어져서
176230	176.23	자 이 영상에서 소개해드렸던 단지는
178120	178.12	삼고 의심도 시내에서 수리산 역에
180190	180.19	있는 한라 주공 4단지 1차 요
181959	181.96	여기에요
