40	0.04	인구가 줄어드는데 집값이 버티겠냐?
1920	1.92	집값 폭락한다. 인구 줄어드는 건 못
3919	3.92	버틴다. 곧 빈집이 널릴 것이다.
5799	5.80	그런데 미쳤다고 빚내서 집사겠냐? 곧
7919	7.92	부동산 거품이 붕괴될 거다. 가장
10000	10.00	많이 하시는 오해인 거 같아서 일단은
12599	12.60	빈집이 남아줄 텐데 누가 비싸게 집을
14679	14.68	사겠냐라는 질문에 대해서는 이미
16800	16.80	대한민국은 빈집이 남아 도는
18520	18.52	나라예요. 앞으로 빈집이 남아 도는게
20480	20.48	아니고 이미 빈집이 많이 있어요.
22199	22.20	현재 우리나라에 1년 이상 전기나
24279	24.28	수도를 단 한 번도 쓰지 않은 진짜
25880	25.88	빈집 잠시 비워 놓은 거 말고 아무도
27840	27.84	안 사는 진짜 빈집이 2025년 기준
30800	30.80	135만 채를 돌파했다고 합니다.
33360	33.36	대한민국 전체 주택수가 2천만 원인데
35840	35.84	그중에 135만 채 약 7% 정도가
38800	38.80	지금 집이 비어 있어요. 대한민국
40280	40.28	주택에 7%가 이미 비어 있습니다.
42840	42.84	그러니까 앞으로 빈집이 남아돌 텐데
45079	45.08	누가 집을 사겠냐가 아니에요. 지금
47000	47.00	빈집이 남아 돌고 있는데 사람들은
49239	49.24	비싼 돈을 주고 집을 사고 있습니다.
51360	51.36	이거부터 정정을 하고요.
