0	0.00	오늘은 제 이야기가 아니라 조금 더
1800	1.80	어린 한 분의 이야기를 들려 드리고자
3600	3.60	합니다이 친구는 이제 막 20살이
5839	5.84	됐습니다 대학교 1학년이고 알바도 해
8400	8.40	본 적이 없었죠 그런 그 친구가 며칠
10480	10.48	전 첫 결제를 받았습니다 23만
13240	13.24	원이었습니다 본인 직접 만든 서비스로
15679	15.68	말이죠 저는 지금까지 제가 했던
17920	17.92	디자인 사업 스위어 방법을 단계적으로
20199	20.20	풀어 나가고 있습니다 하지만 해당
22279	22.28	시리즈를 연재하면서 이런 생각이
24279	24.28	들더군요 내가 직접 해봐서 되는 건
27000	27.00	알겠는데 정말 다른 사람도 이걸
29160	29.16	따라할 수 있을
31199	31.20	저는 이걸 증명해 보고 싶었습니다
33719	33.72	다른 분도 가능한지 직접 확인해 보고
35920	35.92	싶었죠 그러던 중에 예전에 영어를
38040	38.04	가르치던 시절 알게 된 한 선생님께서
40079	40.08	연락이 왔습니다 우리 아들이 선생님의
42239	42.24	비즈니스에 관심이 있는데 혹시 이야기
44640	44.64	좀 나눠볼 수 있을까요 그렇게 처음
46840	46.84	만난 자리에서이 친구는 낯을
48520	48.52	가리면서도 계속해서 질문을
50280	50.28	쏟아냈습니다 만남 이후로도 몇 번의
52440	52.44	연락을 해보니이 친구는 진짜 실행할
54600	54.60	것 같다는 생각이 들었죠 그래서
56520	56.52	도와드리기로 했습니다 왕 특강을
58559	58.56	해드리는 것이었기에 사실 몇 명을 더
61160	61.16	뽑으려 했습니다 이에 제 사업에
63960	63.96	관심을 보였던 몇 분께 연락을
65760	65.76	드렸습니다 하지만 생각과 달리 이런
68040	68.04	답변이 돌아왔습니다 과제 보증금 5만
70600	70.60	원이 없다 요즘 너무 바쁘다 이런
73240	73.24	이야기들이 너무 많았죠 역시 할
75479	75.48	사람만 하게 되어 있다는 것을 다시금
77439	77.44	느끼는 순간이었습니다 그래서 딱 한
79640	79.64	명만 정말 잘할 것 같은 그분 한
82520	82.52	분만 도와드리기로 했습니다 강의 시작
84799	84.80	중에는 역행자 책을 읽겠습니다 자기
87640	87.64	인생을 자기 손으로 바꾸고 싶다면이
89520	89.52	책은 먼저 한번 읽어봐야 될 것
91560	91.56	같다는 생각이 들었습니다 결국 실행
93560	93.56	이전에는 태도부터 갖춰져야 하기
95439	95.44	때문입니다 그래야 수익화에 과정
97439	97.44	자체를 즐기면서 수익화 아지 버틸 수
99920	99.92	있기 때문이죠 역행자 책계 내에 있는
102479	102.48	1단계 자식 해체와 2단계 정체성
105520	105.52	만들기가 있어야만 가능하다는 제
107880	107.88	판단이 있었기 때문이죠 강의의 첫
109960	109.96	번째 과제로 서비스를 정하게 했습니다
112119	112.12	이분은 영상 편집 서비스를 런칭하고
114479	114.48	싶어하셨습니다 하지만 저는 무작정
116799	116.80	로고 상세 페이지 홈페이지 세 개 중
119320	119.32	고르게 만들었죠 왜이 세 개 중
121320	121.32	선택하게 하였을까요이 세 개의
