80	0.08	이번 유동성 폭발은 주식 시장으로
2280	2.28	돈이 흐를 거다. 부동산으로 돈이 안
3879	3.88	간다. 유동성이 늘면 주식 시장으로
5520	5.52	가지. 그게 왜 꼭지 부동산에 돈이
7439	7.44	흘러갈 거라고 생각을 하냐? 너무나
9000	9.00	쉬운 질문을 하나 여러분께 해
10280	10.28	볼게요. 여러분은 주식으로 돈을 많이
12120	12.12	버시면 집을 안 사세요. 주식으로 돈
14719	14.72	번 사람들이 돈을 갖다 제일 많이
16520	16.52	넣는 곳은 부동산입니다. 내가 사고
18520	18.52	싶은 집도 못 살 거면 이런 집 이런
20760	20.76	집도 못 살 거면 주식을 뭐 하러
22960	22.96	하냐고요? 이런 집을 살 수 없다면
24599	24.60	주식을 안 하죠. 너무 당연한
26080	26.08	겁니다. 당연한 인간의 기본
27800	27.80	욕구라고요. 주식해서 돈을 많이 벌면
29599	29.60	집을 산다.
