0	0.00	아주 명백하게 현 정부에서 다주택자는
2080	2.08	범죄자입니다. 노태우 정부가 범죄화의
4920	4.92	전쟁을 선포했었다면 문재인 정부에서는
7040	7.04	다주택 범죄화의 전쟁을 선포했었죠.
9360	9.36	여기서 완전히 방멸을 하지 못했다고
11679	11.68	여긴 이재명 정부는 다주택 범죄와의
14400	14.40	2차 전쟁을 선포했습니다. 거의 지금
16199	16.20	SNS 올라오는 거 보면 국가의
18119	18.12	주적급으로 생각을 하고 있죠. 아주
20000	20.00	명백하게 현 정부에서 다주택자는
21840	21.84	범죄자입니다. 다주택자 완전 방멸을
24199	24.20	매일 매일 매일 매일 선포하고 있는
27080	27.08	이재명 정부. 다주택자의 완전 방멸은
29640	29.64	성공할 수 있을지 그리고 그렇게 하면
31400	31.40	정부에서 외치는 부동산 정상화가
33520	33.52	코스피 5,000p보다 훨씬 쉽게 될
35800	35.80	것인가에 대한 얘기를 해 보겠습니다.
37120	37.12	습니다.
