40	0.04	재개발 재건축을 못 하게 막음으로써
1719	1.72	주택 공급이 막히는 건데 여러 가지가
3399	3.40	있습니다. 가장 대표적인 걸로
4720	4.72	제초한죠. 재건축 초과 이익
6279	6.28	환수제라고. 아 이름부터가 골치
8040	8.04	아프게 생겼죠. 뭐 재건축을함으로써
10320	10.32	초과 이익이 생긴 것에 대해서 한 번
12360	12.36	더 세금을 물리는 것 같은 제도고요.
14360	14.36	심지어 이건 양도 소득세와는
15839	15.84	별개입니다. 내가 집을 사서 팔
17960	17.96	때까지의 양도 차익에 대한 양도
20359	20.36	소득세를 내죠. 팔 때. 근데 팔기
22480	22.48	전에 아직 안 팔았어요. 팔기 전에
24519	24.52	따로내는게 제초환입니다. 참 신기한
26679	26.68	제도죠. 이게 이중 가세냐 아니냐
28519	28.52	떠나서 이거 자체가 재건축을 방해하는
31480	31.48	엄청난 방해물이에요.
