0	0.00	여러분 안녕하세요 모두의 부동산입니다 오늘은 정말정말 많은 분들이 요청
4380	4.38	해 주셨던 주제는 되요
5879	5.88	바로 천 약 당첨 후에 자금조달 계획서 작성하기 입니다
10559	10.56	제가 에 지난거 4천 야쿠 자금 마련에 모든 것 이라는 영상에서 일어
14880	14.88	이런 방법으로 계약금만 마련하면 다 방법이 있다
18660	18.66	이런 주제를 말씀을 드렸었는데 굉장히 많은 분들이 받으셨어요
22380	22.38	근데 이 영상 보신 분들 이런 생각 많이 드셨죠 자금은 어떻게든 마련할
26670	26.67	수 있다는건 알겠는데 주택 자금 조달 계획 쏘 에는 어떻게 써야 하느냐
31109	31.11	알려준 방법 그대로 했으면 되느냐
33180	33.18	이제 여러분이 청약이 당첨 되시면 수도권 은 거의 다 그냥 점주는
36899	36.90	계획서를 제출 해야지 계약할 수 가 있어요
39719	39.72	아시죠 오늘은 이전이 영상을 안보신 분들도 한번에 좀 이해를 하실 수
44280	44.28	있도록 저녁 당첨이 되었을 때 자금 마련 계획 까지 포함해서 메인 주제는
49230	49.23	자금조달 계획서를 어떻게 작성해야 하는지 얘랑 영계에서 좀 말씀을 한번에
54059	54.06	좀 정리해 드릴게요
55559	55.56	이거 기다리신 분들 되게 많으시죠 먼저 좋아요 한번 꾹 눌러주시고 구독은
60059	60.06	시총 후 자연스럽게 누르시는 걸로 그럼 시작합니다
71680	71.68	그럼 자금조달 계획서가 먼지는 아시죠
74080	74.08	오늘은 제가 천 약의 당첨된 후에 자금조달 계획서를 어떻게 쓰는 지에
77680	77.68	대해서 말씀을 드릴 텐데 특정 조건에서 주택을 구입하시면 2 자금조달
82689	82.69	계획서를 작성 하셔야 되요
84430	84.43	청약이 든 매수를 하셨던 상관없이 자금조달 계획서를 작성 하셔야 되는데
90009	90.01	어떻게 사건의 어떤 작용으로 어디서 내가 돈이 나서 이 집을 사느냐 에
94840	94.84	대해서 작성을 하는 거에요
97119	97.12	주 목적은 이제 어떤 불법적인 자격 같은거 좀 걸러내고 법의 한도를
101619	101.62	초과하는 대출 등으로 주택을 구매하는 걸 막으려고
105610	105.61	자금조달 계획서가 없으면 그런 것들을 잘 알 수가 없으니까 그럼 어떤
109330	109.33	경우 자금 조달 계획서를 제출 해야 하느냐
112270	112.27	10월 20일 보도자료 지 얼마 안 됐어요 최근에 기준이 한번 개정이 된
116710	116.71	거에요 3 표를 보시면 되요
118330	118.33	자금조달의 계획서를 필수 로 내야 하는 조건이 뭐냐
121600	121.60	자 규제 지역이 있고 b 규제 지역으로 아니죠 여러분 규제 지역이 뭔지는
125740	125.74	아시죠
126310	126.31	규제 지역은 투기과열지구 나 조정 대상 지어 이게 다 이제 규제 시
131170	131.17	여기에요 주제를 받는 지역이죠
132880	132.88	부성 대상 지역도 규제를 하는지요 투기과열지구 도 규제를 받는 지역이죠
138070	138.07	이 두 개 규제 지역인데 2조 전개상 지역이나 축이 가열 쉬고 의
142930	142.93	아파트를 구입하거나 천 냥의 당첨이 되어서 이제 계약을 할 때는 자금조달
148239	148.24	계획서를 제출 해야 돼 원래는 이 규제 지어 즉 투기 가지고 2 전개상
152590	152.59	3억 이상의 주택을 매수하거나 분양받을 때 적용 줄을 계획서를 제출할 수
157450	157.45	없고 비교 지적은 유혹 이상일 때 바꼈습니다 이제 크게 바꾼 야
161680	161.68	주제 지역은 모든 거 내 3억이상 이런건 아니고 내가 100만 원짜리
165730	165.73	집을 사 써도 싸야 됩니다
167829	167.83	어디서는 규제 지역에서는 책 투기과열지구 와 2정 대상 지역에서는 내가
172810	172.81	집을 매수를 하든 분양을 받든 무조건 써야 돼요
176230	176.23	다행히 로비 규제 지역은 6억 이상이 그대로 유지가 됩니다 개인인 경우에
180489	180.49	법이 이거는 뭐 곳이 필요없고 여러분이 써 규제 지역에 대한 주인이
184720	184.72	바뀌었다
185260	185.26	3억이상 에서 야 모든 거래 0 원 이상으로 그 다음에 여기에 대한
189160	189.16	증빙자료 까지 내야 되는 곳들이 있는데 이 증빙자료 는 어디서 막 축이
193000	193.00	발열 지구 해선 안 되는 거예요
194739	194.74	두 정상 지역은 증빙 결코 끝내지 않습니다 투기과열지구 에서만 증빙
199060	199.06	자료를 내고 이것도 이제 2g 가지고 9억원 초과 일때만 매는 거였는데
203169	203.17	모든 거래를 바뀌었어요 태그 정리를 하면 이렇게 생겼어요 축이 가을
207579	207.58	지구는 모든 주택을 매수하거나 그냥 받을 때 자금조달계획 써도 내고
212530	212.53	증빙자료 까지 제출한다
214419	214.42	조정 대상 지역은 모든 주태 자경 조단의 계획서 만 제출하고 증빙자료 는
219130	219.13	안 된다 투기과열지구 와 조정 지역의 차이는 증빙자료를 내용이 아니라 차
223209	223.21	이제 금액 같은거 없습니다 이런 잊어버리세요 비교 제인 경우에만 6억
227139	227.14	이상인 경우 자금조달계획 썩어
229180	229.18	이렇게 돼 버리니까 사실상 이제 모든 축이 가을 주고 2동 대상 지역은
233260	233.26	다 자금조달 개선을 해야 되죠 볼까요
235690	235.69	지금 빨간색이 2개가 주고요 노란색이 2 전개상 지역 이에요
239920	239.92	흰색 이제 비기 저한테 수 조건을 쪽 보니까 비교 gnc 작은 이제 거의
243940	243.94	없죠
244510	244.51	여러분 의 정보도 규제 지역의 요 김포 파주 광주 정도 빼고 다 규제
249010	249.01	지역입니다
249879	249.88	이영상 보시는 여러분들 대부분 eg 노란색 빨간색 안에 주택을 지금 분양
255069	255.07	받으시려고 하시는 편향 을 하시려는 분들이 일텐데
257769	257.77	여러분 대부분 작은 줄의 계획서를 쓰셔야 되구요 그중에 빨간색의 속
261430	261.43	하시는 분들 분들은 증빙자료 까지 대부분 제출 하셔야 되요
264970	264.97	자 이제 본인이 작은 유다 계획서를 작성 하셔야 된다는 걸 알았죠
269020	269.02	오늘은 지그 어떻게 작성을 할꺼냐 의 문제인데
273010	273.01	대원칙은 이겁니다 실제 자금 조달이 가능하다 는 여러분의 지난번에 보신
277810	277.81	영상을 보시고 아내가 어찌해서 계약금만 어떻게든 되고 그 다음에 어떻게
281620	281.62	할수 있겠다 전략을 보니까 이렇게 하면 되겠다 라고 결론을 내리셨다 면
286450	286.45	실제 자금조달이 가능한 거죠
288669	288.67	그렇다면 자 금 조 자에 대해서도 쓸 수 있다는 거에요 이게 되면 이것도
292300	292.30	되는거예요 이게 되는데 이게 안 될 순 없어요
294880	294.88	이게 안 되는데 예약 될 수 있어요 더 쉬워요
298750	298.75	실제로 자금을 조달하는 게 더 어렵지 작용도 될 계획서를 쓰는건 얘보다
303160	303.16	하실까
303880	303.88	여러분이 이것만 해결이 되면 실제 자금을 내가 도달 할 수만 있으면 계획
308080	308.08	서 쓰는 것은 크게 걱정할 필요 없습니다
310360	310.36	지금부터 그러면 작용 조사 계획서 를 샅샅이 한번 볼게요 어떻게 쓰는지
315010	315.01	자 요렇게 생겼습니다 앉혀 쓸게 되게 많아요
318820	318.82	잠보 이적 잘 안보여서 2위에는 뭐 일시 모델 이름 주소 이런건 쓸 수
323050	323.05	있잖아요 제가 알려드리지 않아도 되죠
325330	325.33	밑에 퇴출이 누구 서명 또는 날인 누구나 쓸 수 있는 거죠
329380	329.38	저는 여기서 부터 여기까지만 말씀을 드릴 거에요 입주 계획도 내가 입주할
333400	333.40	건 집 전체를 2 건진 가족이 사건 이런거는 선택하실 수 있잖아요 저는
337660	337.66	자금조달계획 외 조달 자금 지급 방식이 두 가지만 말씀 드릴 거에요 는
342070	342.07	이 부분을 확대해 보겠습니다
343599	343.60	이렇게 되는데 보시면 자금조달계획 이게 애니죠
347590	347.59	자금조달계획 서니까 자금조달 계획 은 그야말로 자금을 어떻게 조달을 할
352690	352.69	거냐 그 계획을 한번 말해 가 이거예요 작용을 너가 어떻게 마련해서
356919	356.92	이집을 사건이 21 분양받을 거니 너 자금도 없는데 지분을 받으려고 하는
362020	362.02	거 아니야 증명을 한번 해봐 은 이 계획을 한번 말해 봐 이거 고 제
365590	365.59	밑에 조달 자금 지급 방식은 분양 받았을 때 건설사의 어떻게 작용을
370060	370.06	지급을 할래
370840	370.84	이 계획으로 조달한 자금을 마련한 자금을 어떻게 지불을 할 거니
375490	375.49	이건 뭐 10조 사실 이 1번 자금조달계획 이제 어려운 거에요
379120	379.12	이게 제일 중요한 거고 음 자금조달계획 부터 한번 볼게요 자 더 확대를
383349	383.35	했습니다
384070	384.07	자 겸 조장에게 해외 자금 조달 계획은 크게 두가지로 분류가 되요
388210	388.21	자기의 자금과 차입
389980	389.98	으 으 로 분류가 되죠 차입금 이번 딱 봐도 뭐 대출 같은거 존의 보니
393790	393.79	아닌거 이 위에 있는 것은 내 도내 자금이 조작이 자금 때 톤 이 밑에
398650	398.65	뭐겠어요 그러면 매도는 아닌것 가 되겠죠 그때 봉과 내돈 아닌것을 합쳐서
403420	403.42	합계 분양가가 나오면 되는 거죠 답게 분양가와 옵션까지 더한 금액이
408730	408.73	나와야 돼요
409330	409.33	그것까지 여러분 옵션까지 다 지불 할 수 있다는 걸 보여줘야 되니까요
412990	412.99	차입금 부터 먼저 볼게요 차입금 이중에서 대출 8 범 대출의 갚게 있어요
417880	417.88	대출을 보시면 생각하겠죠 주택담보대출 신용대출 그밖에 대출이 있는데 이건
423340	423.34	되게 쉽습니다 사실 여러분이 주택담보대출을 받으실 거면
427810	427.81	주택담보대출 언제 받아요 입주 시점에 하죠 이쁘 시점에 그전에 중도금
431920	431.92	납부 할 때 받는 것은 주택담보대출이 아니고 중독에 줄입니다
435190	435.19	이건 헷갈려하는 분들이 있더라구요 처음에 계약금 10 보내고 중간에
438250	438.25	6번에 걸쳐 가지고 뭐 중독은 6번째 떽 즉 6번 되고 마지막 입주할 때
442360	442.36	잠금 되죠
443260	443.26	주택담보대출은 밑에 잠금 될 때 반대 추리고 중도금 대출은 이 중간에 한
447310	447.31	대출이 해요 여러분 주택담보대출을 받으실 거면 입주할 때 입주 하실 때
