0	0.00	모두의 부동산 멤버십 회원이 되면
2040	2.04	얻을 수 있는 일곱 가지 혜택
3780	3.78	첫 번째 회원에게 먼저 공개되는 선
5940	5.94	공개 영상이 있어요 주로 투자처
8519	8.52	관련된 가장 중요하고
10260	10.26	민감한 영상들을 일반의 공격되기 전에
12120	12.12	최소 1개월에서 1년까지
14519	14.52	먼저 시청할 수 있다
15660	15.66	투자는 타이밍이죠 시세가 올라가기
16980	16.98	전에 투자처를 파악하세요 방금
18900	18.90	말씀드린
19859	19.86	회원에게 먼저 공개되는 영상은
21480	21.48	그야말로 투자 관련 영상을 먼저 볼
23699	23.70	수 있다는
24539	24.54	혜택이었고요 두 번째 혜택은 더 좋은
26640	26.64	혜택이죠 아예 일반의 공개되지 않는
29099	29.10	영원히
30480	30.48	회원 전형으로 볼 수 있는 영상들이
31980	31.98	올라갑니다 즉 아예 회원 전형으로
34739	34.74	올라가는 영상들이 또 따로 있습니다
36120	36.12	이렇게 선공개 영상과 전용 영상을
39360	39.36	앞으로 최소 일주일에 하나씩은
41160	41.16	업로드라고 합니다
42239	42.24	찍어서 올리는 영상뿐만 아니라 멤버십
44340	44.34	회원들은 이미 한 달에 한 번씩은
46140	46.14	실시간 스트리밍을 함께 하고 있죠
47940	47.94	평소에 언급하기 어려운 특정 지역
49800	49.80	특정 단계 등에 대해서 질문 받고
51420	51.42	답해드리기도 하고요 스트리밍에서는
52860	52.86	저도 많은 이야기를 하지만 매니저도
54300	54.30	상주하면서
55199	55.20	채팅방에서 우리 회원 여러분들의
56760	56.76	질문에 답변을 해드리고 있죠 이렇게
58920	58.92	회원 성공계 영상 전용 영상
61379	61.38	회원전용 스트리밍까지 모두 월 1회
63359	63.36	이상 한 달에 최소 3회에서
65339	65.34	6회까지
66360	66.36	회원님들을 위한 영상이 올라갑니다네
68640	68.64	번째 혜택 회원전용 카톡방 입장 모든
71100	71.10	방은 저 모브가 상주하고요 우리
73439	73.44	매니저를 비롯한 전문가들이 상주하면서
75659	75.66	함께 소통하고 정보를 나누고 간단한
78060	78.06	질문을 답변도 해드리죠이 카톡방에는
80340	80.34	저희 말고도 정말 대단하신 분들이
82200	82.20	많으니까요
83400	83.40	들어오셔서 많은 정보 얻으시기
84540	84.54	바랍니다 다섯 번째 혜택 모두
86700	86.70	부동산이 내부 강연을 하거나 정모를
89280	89.28	주최할 경우
90659	90.66	회원들은 우선 참여권이 있습니다 거의
92759	92.76	대부분의 오프라인 모임은 이런 식으로
95220	95.22	회원들께 공지를 띄워서
97020	97.02	진행이 된다는 점
98340	98.34	여섯 번째
99240	99.24	택부터는 혜택인지 잘 모르겠는데
100500	100.50	아무튼 회원에 가입하면 댓글을 다시는
102960	102.96	여러분들 옆에 이런 멋진 표식이
104880	104.88	생깁니다 처음 가입하시면 동메달 점차
106920	106.92	시간이 지남에 따라서 은메달 금메달
109920	109.92	스타로 진열을 하죠 마지막 일곱 번째
112259	112.26	책은 회원님들만 사용할 수 있는 양파
113880	113.88	이모티콘 회원님들이 이미 사용하고
115979	115.98	계시죠 귀엽죠 요건 이제 아까
117420	117.42	말씀드린
118500	118.50	회원 표식이구요 사실 다섯 번째까지가
121140	121.14	끝이었던 것 같지만 아무튼 7가지
123119	123.12	혜택 많은 구독자 여러분들이 회원으로
124920	124.92	가입하셔서 우리 회원 전용 카톡방
126780	126.78	그리고 실시간 스트리밍에서 무브와
129300	129.30	실시간으로 소통해 주시기 바랍니다
