40	0.04	전반적으로 한강을 위주로 그 입지가
2240	2.24	재편된다 지금까지는 하급이라고
4040	4.04	여겨졌던 것들도 조금 멀리 있어도
5640	5.64	마찬가지예요 어느새 지금 한강에 붙어
7319	7.32	있는이 구들이 다들 되게 좋은 평가를
9080	9.08	받고 있어요 예전보다 한 10년
10519	10.52	전보다 서열이 바뀌었습니다 지금은
12320	12.32	거의 여기에 붙어 있는 곳들이 제일
14320	14.32	비싸죠 전반적으로 그렇지 않나요 저는
16279	16.28	안 그랬었어요 지금 요즘 들어서
17720	17.72	부동산을 하신 분들은 어 여기에 붙어
19560	19.56	있는 곳들이 가장 비싼게 당연하다고
21080	21.08	생각하는데이 떨어져 있는 곳들보다
22960	22.96	무조건 더 비싸진 않습니다 정말 정말
24960	24.96	옛날에는 노원구가 정말 서울에서 뭐
26920	26.92	타급이었던 실도 있고요 그러니까 여기
28679	28.68	학군이 있겠죠 학군지가 있다는 거는
30359	30.36	한때는 부자 동네였다 뜻이에요
