199	0.20	권력은 짧고 강남 아파트는
1839	1.84	영원하다라는 경우를 남기고이 사태가
3959	3.96	끝나요. 노영민 비서실장이 공개적으로
7000	7.00	경고를 합니다. 모든 청와대 참무지는
9080	9.08	집을 한 채만 남기고 처분해라. 자,
10960	10.96	그런데 여기서 노영민 비서실장이
13000	13.00	다주택자들아. 반포 한신 설레 마을
15400	15.40	한 채 본인 지역구인 중국 청주
17560	17.56	아파트 한채 두 채를 가지고 있더라.
19359	19.36	바로 청와대에서 발표를 합니다. 반포
21519	21.52	아파트를 처분하기로 결정했다.
23400	23.40	여기까지도 상당히 모양이 빠지는
24840	24.84	상황인데이 취소를 합니다. 반포는
26880	26.88	그대로 가지고 있고 본인 지역구인
28840	28.84	청주 아파트를 처분하겠다. 끝까지
30960	30.96	반포는 포기 못 해서 기자 회견을
32840	32.84	정정해서라도 본인 지역인 청주를
35200	35.20	매물로 대놨다는 걸 강조하는이
36680	36.68	모습에서 또 한번 큰 이슈가 됐었죠.
38719	38.72	참고로 한신 설레는 그 당시 논란이
40760	40.76	있었을 때 18억 4천이었던 41평이
42920	42.92	지금 38억입니다. 자 그럼이 공직자
44840	44.84	리스크를 어떻게 해소를 했느냐? 집을
46640	46.64	지키고 집을 사하는 걸로 거의 결정이
49239	49.24	됐습니다. 권력은 짧고 강남 아파트는
51440	51.44	영원하다라는 교훈을 남기고이 사태가
53600	53.60	끝나요.
