599	0.60	예전에 그 인천 개양에 국회의원
2320	2.32	출마를 할 때 군당집요 당시
4319	4.32	2022년에 팔겠다라고 선언을 딱
6520	6.52	하고 멋지게 금매 26억 5천에
9240	9.24	내놨다가 24억 5천으로 무려 2억
11920	11.92	원이나 낮춰서 내놨어요. 이때
13240	13.24	62평의 실거래가가 20억이 안 됐을
16279	16.28	땐데 금매로 내놨다는게 24억
18680	18.68	5천이에요. 실거래가가 19억인 집을
20880	20.88	26억 5천에 내놨다가 그 24억
22720	22.72	5천으로 내리면서 2억 원을 나췄다.
24920	24.92	금매에다 이제 안 팔리고 지금
26920	26.92	30억을 돌파를 했네요.이 이
28359	28.36	그래프가 엄청나게 올라간 비결 중
29880	29.88	하나가 바로 분당 선도 지구
31439	31.44	지정이죠. 무려 30곳이 넘는
33360	33.36	후보지들이 완전 전쟁을 해서 딱 세
35640	35.64	개의 구역이 지정이 됐고 그중에
37559	37.56	하나가 지금 대통령이 가지고 있는
39040	39.04	양지 마을이에요. 근매로 내놨다고
40640	40.64	하고 안 팔린다라는 걸 이제 토선
42760	42.76	수분에서 보여 주셨다 보니까 지금
44280	44.28	청와대 참모들도 2020년부터
46320	46.32	내놨는데 안 팔린다. 6년 동안 안
49000	49.00	팔린다. 나보고 어쩌라고? 팔고
51079	51.08	싶다고 나도 안 팔린다고.
