40	0.04	최근에 엔터 쪽에 역대급 대형 사건이 터졌죠 btsl 만든 하이브는 현재
3959	3.96	하나의 여러 개의 레이블을 자회사로 두는 식으로 멀티레이블 체제를 구축해
7439	7.44	둔 상태예요 근데이 사나 레이 브리자 자회사 중에 하나인 어도어 아는
10800	10.80	곳이랑 마찰이 생겼잖아요이 어도어 같은 경우는 미니진이라는 스타
13960	13.96	제작자가 이끄는 곳이고 또 뉴진스 만든 곳이죠 하이브 측은 민희진
17240	17.24	대표가 경영권 찬사를 시도했다고 주장하고 있고 민희진 대표 측에서는
20800	20.80	그런 적 없다 오히려 그간 하이브가 어도의 업무를 방해해 왔다 이런 식의
24279	24.28	주장을 하고 있는 상황인데 문제는 둘이 싸우는 과정에서 다수의 산나
27800	27.80	아티스트들이 언급이 됐고 그 내용들이 조금 부정 적인 측면이 있었거든요
30960	30.96	결과적으로 하이브의 대표 아이돌들이 브랜드 이미지에 손실을 입게 됐어요
34200	34.20	그 어떻게 보면은 하이브가 공개적으로 미니진 대표를 공격을 했고 미니진
37800	37.80	대표가 여기에 반격을 하는 과정에서 오히려 하이브가 상당한 피해를 입은
41079	41.08	꼴이 됐는데 아 딱 지금까지의 과정만 떼어 놓고 보면은 하이브의 경영
44800	44.80	실패를 볼 여지가 좀 있을 거 같아요 한마디로 계열사 컨트롤을 못 해
47760	47.76	가지고이 사단이 난 건데 결국은 이게 멀티레이블 체제를 만들면서 생긴
50719	50.72	문제거든요 이거 자체가 시도된지 얼마 안 된 사업 모델이라서 시행 차고를
54160	54.16	하고 있다는 생각은 들어요 한편으로는 멀티레이블 체제가 가지는 리스크도
57199	57.20	조금 보이는 측면이 있었고 이거를 컨트롤하지 못하는 모습도 보여
59960	59.96	줬는데이 사태를 어떻게 봉합을 하냐에 따라서 하이브의 영향에 대한 평가가
63640	63.64	조금 갈릴 것 같거든요 여기서 한 가지 궁금해지는게 하이브는 왜 굳이
67119	67.12	멀티레이블 체제를 만들려고 했을까 여기에 대한 얘기를 조금 해
70390	70.39	[음악] 보겠습니다 한 1년 정도 전부터 방
74600	74.60	시역 의장이 방송이나 인터뷰에서 그런 말을 해 왔어요 케이팝은 위기다 거의
78200	78.20	모든 지표가 꺾이고 있다 아니 지표가 대체 얼마나 꺾였기 그래 그런가
81240	81.24	찾아보니까 생각보다 그렇게 나쁘진 않더라고요 무슨 마이너스가 나오고
84439	84.44	역성장을 한 건 아니에요 여전히 성장을 착실하게 하고 있더라고요 팝
