120	0.12	다주택자의 비율이 일반적인 국민보다
2800	2.80	세 배 정도 많은 집단이 주도를 해서
5240	5.24	뭘 한다고요? 다주택 범죄와의 2차
7279	7.28	전쟁을 한다고요. 심지어 이제이
9440	9.44	정책을 발표하는 다주택자들에게
11280	11.28	경고합니다. 빨리 파세요. 다 끝장
12799	12.80	낼 겁니다라고 기자 회견으로 발표를
14879	14.88	하는 청와대 강류저항 대변인 본인이
17320	17.32	다주택자예요. 대변인뿐만 아니라
18920	18.92	민정수석, 사회수석, 해외 언론
20560	20.56	비서관, 민정 비서관 기타 등등이
22600	22.60	대통령을 직접적으로 모시는 청와대
24599	24.60	참무진의 다주택자가 이렇게 많은데
26359	26.36	다주택자와의 전쟁을 하는게 맞냐?
28640	28.64	그냥 일반 국민들의 다주택자 비율은
31119	31.12	8.3%예요.이 8.37%라는
33920	33.92	일반 국민의 다주택 비율에 비해
36520	36.52	20%는 좀 상당히 높죠. 다주택자의
39079	39.08	비율이 일반적인 국민보다 세 배 정도
41920	41.92	많은 집단이 주도를 해서 뭘
43680	43.68	한다고요? 다주택 범죄와의 2차
45600	45.60	전쟁을 한다고요.
