199	0.20	첨부한 대본을 바탕으로 역사
2159	2.16	스토리텔링 영상을 만들 거야. 팩트
4080	4.08	체크를 해 줘.
7879	7.88	이제 각 대사 부분을 설명해 줄
9559	9.56	그림을 미드 전이로 뽑을 거야. 대사
11599	11.60	한두 문장당 하나의 그림을 구성할
13400	13.40	거야. 그림체는 붓으로 그린 느낌으로
15759	15.76	각 프롬프트를 제시해 줘.
19920	19.92	이걸 기반으로 이미지를 만들면
24760	24.76	첫 번째 이미지를 시작 프레임으로
26400	26.40	하고 두 번째 이미지를 끝 프레임으로
28640	28.64	하여 옴니 1.1 플래시 모델을
30560	30.56	이용해 영상화할 거야. 프롬포트
32399	32.40	제시해 줘.
38960	38.96	여기에 나레이션과 배경 음악을 더하면
42160	42.16	1162년 무렵 몽골 초원의 겨울
47199	47.20	여기 한 사내가 전투에서 돌아옵니다.
51480	51.48	안정 뒤에는 붙잡아온 적장이 묶여
54399	54.40	있었죠.
56000	56.00	그리고 그날 밤 그의 아내가 아들을
59559	59.56	낳습니다. [음악]
61840	61.84	사내는 아기에게 이름을 붙입니다.
65119	65.12	방금 잡아온 그 적장의 이름으로
67759	67.76	말이죠.
69840	69.84	데모진.
73560	73.56	적의 이름을 아이에게 주면 그 힘이
76280	76.28	아이에게 옮겨온다고 초원 사람들은
79799	79.80	그렇게 믿었다고 합니다.
83600	83.60	44년 뒤는
86479	86.48	초원의 모든 부족을 하나로 복습니다.
90640	90.64	그리고 가장 먼저 한 일이 그 이름을
94159	94.16	버리는 것이었죠. 덕의 이름으로
96720	96.72	시작해 자기 이름으로 끝난 사람.
100720	100.72	바로 진기즈칸입니다.
105240	105.24	그런데 이상합니다.
108560	108.56	한반도에서 우크라이나까지,
111079	111.08	시베리아에서 중국 남북까지
114159	114.16	역사상 가장 넓게 이어진 땅을 남긴
117000	117.00	사람인데 그가 어디에 묻였는지는
120200	120.20	800년째 아무도 모릅니다.
124479	124.48	무덤도 비석도 표식도 없죠.
130399	130.40	세계에서 가장 큰 제국을 만든 남자가
133800	133.80	왜 자기 무덤 하나를 남기지
136920	136.92	않았을까요?
140360	140.36	지금부터 그 이야기를 시작해
143360	143.36	보겠습니다.
147120	147.12	요즘 이런 AI 역사 채널이 진짜
150200	150.20	잘된다고 댓글에 많이 달아
152599	152.60	주셨습니다. 어, 솔직히 역사 채널은
154920	154.92	사실 예전부터 잘됐어요. 근데 요즘은
158080	158.08	좀 트렌드가 달라졌습니다. AI를
160560	160.56	통해 시각적으로 역사적인 현장을
163200	163.20	제연하고 그리고 거기에 스토리텔링과
165680	165.68	역사적 교육까지 담아서 확 드는
168080	168.08	채널들이 생겨나고 있거든요. 그래서
170040	170.04	이번에는 저도 도입부만 한번 만들어
172519	172.52	봤습니다. 어 보시면서 뭔가 느끼셨을
175440	175.44	수도 있는데요. 워터마크가 있는 것을
178080	178.08	보셔서 아시겠지만 구글 옴니플래시라는
181000	181.00	모델을 사용한 겁니다. 근데 놀랍게도
183480	183.48	제가 알던 그 구글 영상 모델 특유의
186239	186.24	그 저렴한 느낌 다른 모델과 비교해서
188519	188.52	좀 떨어지는 그 느낌 그게 좀 개선이
191120	191.12	많이 되었어요. 어, 훨씬 좀
192799	192.80	자연스러워졌다고 볼 수 있어요.
194519	194.52	여기에도 분명한 이유가 있습니다.
196640	196.64	구글이 8월 27일에 구글 옴니
199200	199.20	1.1 플래시라는 모델을 출시를
201720	201.72	했습니다. 구글 공식 블로그 첫 줄에
203799	203.80	보시면 스튜디오 퀄리티에 영상 제작을
206599	206.60	가능하게 한다고 적혀 있습니다.
208840	208.84	업데이트가 한 뭐네 개 정도로 이렇게
210840	210.84	정리가 되어 있는데 어네 개를 한번
213319	213.32	짚어 보도록 하겠습니다. 첫 번째는
215040	215.04	장면 확장입니다. 이미 영상을 하나
217280	217.28	만들어 놓고 그 뒤에 부분을 계속해서
219560	219.56	생성하는 건데요. 여기서 중요한게
221439	221.44	있습니다. 어 이전 모델들은 마지막
223640	223.64	그 화면 즉 그 이미지 하나만
225959	225.96	참조해서 그 뒤에 있는 영상을 제작을
228400	228.40	했어요. 즉 그렇다는 말은 그 앞에
230720	230.72	있는 영상에 무슨 내용이 있었는지는
233360	233.36	이전 모델들은 거의 모르는 채로
235840	235.84	이어붙였던 겁니다. 근데이 옴니
238120	238.12	1.2는 앞에 [음악] 총 10초면
240879	240.88	그 10초 영상을 통째로 분석을
243159	243.16	합니다. 어 그래서 그 앞에 있는
245000	245.00	10초에 담겨 있는 인물과 배경 이런
247760	247.76	이야기들도 그대로 이어갈 수 있게
250159	250.16	되었어요. 그 방식으로 10초씩
251799	251.80	늘려서 총 40초 정도를 제작을 할
255040	255.04	수가 있다고 합니다. 어 두 번째는
256799	256.80	첫 프레임과 끝레임 지정입니다.
259040	259.04	그니까 시작 이미지랑 끝를 던져 주면
261440	261.44	그 사이를 알아서 채워 주는 것을이
263600	263.60	첫 프레임과 끝 프레임이라고
265360	265.36	하는데요. 놀랍게도 옴니 모델은
267639	267.64	아직까지도 끝지를 설정하는게 반영이
271039	271.04	안 되어 있었어요. 아무튼 이제
272880	272.88	끝지까지 통제가 가능해져서 첫 번째
274960	274.96	이미지로 어떻게 시작해야 되는지부터
277080	277.08	어 마지막 이미지로 어떻게 끝나야
279080	279.08	되는지까지 그것을 다 직접 설정할
281440	281.44	수가 있게 되었어요. 그리고 오늘
282880	282.88	영상에도 사용할 기능이기도 합니다.
284680	284.68	어 세 번째는 360p
