40	0.04	보통 소비 트렌드는 2030이
1839	1.84	주도하잖아요.로나 플렉스, 가치 소비
4080	4.08	같은 말들도 2030을 중심으로
5879	5.88	생겨난 말들이고. 어, 작년 말부터는
7759	7.76	소비 트렌드가 또 바뀌었는데
9120	9.12	2030의 소비가 양극화가 되고
11000	11.00	있습니다. 한쪽에서는 극단적으로
12639	12.64	절략을 하고 반대쪽에서 차치를 계속
14440	14.44	하고 있어요. 예를 들어 평일 점심은
16080	16.08	편의점 도시락으로 때우는데 주말
17840	17.84	외식은 오마카세를 먹고 있죠. 오늘이
19760	19.76	얘기를 조금 해 볼 건데
23720	23.72	원래 돈 벌러가 가지고 돈 쓰는게
25320	25.32	진짜 억울한 건데 지금 직장인들
27160	27.16	점심값이 너무 올랐어요. 원래
28599	28.60	8,000원이면 먹던게 만 원이
30119	30.12	넘어가요. 오주 가면은 회사에 군내
31599	31.60	식당이 있는게 최고의 복지라는 말까지
33480	33.48	나와요. 원래 먹던게 비싸졌다. 돈
35280	35.28	아끼려면 안 먹던 걸 먹어야겠죠.
36960	36.96	그래서 도시락 싸우는 분들이 많이
38280	38.28	늘었어요. 근데 이짓거리도 매일은 못
39800	39.80	해요. 피곤해서. 뭐 저렴하게 사
41120	41.12	먹을 거 없나 찾다 보면은 결국은
42760	42.76	패스트 푸드밖에 없어요. 김밥이나
44480	44.48	토스트, 샌드위치 같은 걸로 떼우는
46039	46.04	거죠. 편의점에서 삼각김밥의
47320	47.32	컵라면으로 때우거나 특히 제일
48640	48.64	저렴한게 편의점인데 버거에 샌드위치에
50800	50.80	도시락게 간단하게 떼울 메뉴도
52280	52.28	많아요. 특히 도시락이 잘 나가죠.
53760	53.76	점심 때 가면은 이미 다 털리고
55280	55.28	없어요. 물류가 입고되는 시간에
56760	56.76	맞춰서 미리 집어와 가지고 상빛을
58879	58.88	냉장고에 넣어 뒀다가 나중에
60039	60.04	먹는데요. 무슨 포켓몬 빵 사는 것도
61600	61.60	아니고 직장인들 많은 오피스 상권은
63320	63.32	이러고 있어요. 여기에 맞춰 가지고
64760	64.76	편의점들도 가성비 마케팅을 하고
66600	66.60	있습니다. 그 유명한 해자도시락이
68360	68.36	다시 나왔어요. 단종시켰던 걸 다시
70119	70.12	팔고 있어요. 다른 편의점들도 양을
71759	71.76	늘리든 최저가를 노리든 할인 행사를
73439	73.44	공격적으로 때리든 도시락 경쟁을 하고
75280	75.28	있습니다. 근데 이렇게 싸게 팔면은
76400	76.40	남는게 있냐? 아, 적긴 하지만
77960	77.96	남기는 한대요. 그리고이 도시락은
79479	79.48	미끼 상품이라고 보는게 와 가지고
81119	81.12	도시락만 사는게 아니잖아요. 커피나
